Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      6.75     0.00     2963     0.00     0.00  __gnu_cxx::new_allocator<ns3::Ptr<ns3::Node> >::~new_allocator()
  0.00      6.75     0.00     2963     0.00     0.00  std::allocator<ns3::Ptr<ns3::Node> >::~allocator()
  0.00      6.75     0.00     2963     0.00     0.00  std::_Vector_base<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > >::_Vector_impl::~_Vector_impl()
  0.00      6.75     0.00     2963     0.00     0.00  std::_Vector_base<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > >::_M_deallocate(ns3::Ptr<ns3::Node>*, unsigned long)
  0.00      6.75     0.00     2963     0.00     0.00  std::_Vector_base<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > >::~_Vector_base()
  0.00      6.75     0.00     2963     0.00     0.00  void std::_Destroy<ns3::Ptr<ns3::Node>*, ns3::Ptr<ns3::Node> >(ns3::Ptr<ns3::Node>*, ns3::Ptr<ns3::Node>*, std::allocator<ns3::Ptr<ns3::Node> >&)
  0.00      6.75     0.00     2962     0.00     0.00  std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > >::~vector()
  0.00      6.75     0.00     2925     0.00     0.00  std::__shared_ptr<ns3::CsmaHelper, (__gnu_cxx::_Lock_policy)2>::operator->() const
  0.00      6.75     0.00     2732     0.00     0.00  __gnu_cxx::new_allocator<ns3::Ptr<ns3::NetDevice> >::allocate(unsigned long, void const*)
  0.00      6.75     0.00     2732     0.00     0.00  __gnu_cxx::new_allocator<ns3::Ptr<ns3::NetDevice> >::max_size() const
  0.00      6.75     0.00     2616     0.00     0.01  ns3::Ptr<ns3::Node>::Ptr(ns3::Ptr<ns3::Node> const&)
  0.00      6.75     0.00     2612     0.00     0.00  __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >::operator++()
  0.00      6.75     0.00     2612     0.00     0.00  __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >::operator*() const
  0.00      6.75     0.00     2612     0.00     0.08  void std::_Construct<ns3::Ptr<ns3::Node>, ns3::Ptr<ns3::Node> const&>(ns3::Ptr<ns3::Node>*, ns3::Ptr<ns3::Node> const&&&)
  0.00      6.75     0.00     2343     0.00     0.00  ns3::Time::Time(unsigned long)
  0.00      6.75     0.00     2238     0.00     0.00  __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Application> const*, std::vector<ns3::Ptr<ns3::Application>, std::allocator<ns3::Ptr<ns3::Application> > > >::__normal_iterator(ns3::Ptr<ns3::Application> const* const&)
  0.00      6.75     0.00     2133     0.00     0.00  __gnu_cxx::new_allocator<ns3::Ptr<ns3::NetDevice> >::deallocate(ns3::Ptr<ns3::NetDevice>*, unsigned long)
  0.00      6.75     0.00     2044     0.00     0.00  ns3::AttributeConstructionList::Item::~Item()
  0.00      6.75     0.00     2044     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<ns3::AttributeConstructionList::Item> >::destroy(std::_List_node<ns3::AttributeConstructionList::Item>*)
  0.00      6.75     0.00     2044     0.00     0.00  std::_List_base<ns3::AttributeConstructionList::Item, std::allocator<ns3::AttributeConstructionList::Item> >::_M_put_node(std::_List_node<ns3::AttributeConstructionList::Item>*)
  0.00      6.75     0.00     2044     0.00     0.00  std::_List_base<ns3::AttributeConstructionList::Item, std::allocator<ns3::AttributeConstructionList::Item> >::_M_get_Node_allocator()
  0.00      6.75     0.00     2044     0.00     0.00  std::_List_node<ns3::AttributeConstructionList::Item>::~_List_node()
  0.00      6.75     0.00     2003     0.00     0.00  bool __gnu_cxx::operator!=<ns3::Ptr<ns3::NetDevice> const*, std::vector<ns3::Ptr<ns3::NetDevice>, std::allocator<ns3::Ptr<ns3::NetDevice> > > >(__gnu_cxx::__normal_iterator<ns3::Ptr<ns3::NetDevice> const*, std::vector<ns3::Ptr<ns3::NetDevice>, std::allocator<ns3::Ptr<ns3::NetDevice> > > > const&, __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::NetDevice> const*, std::vector<ns3::Ptr<ns3::NetDevice>, std::allocator<ns3::Ptr<ns3::NetDevice> > > > const&)
  0.00      6.75     0.00     1992     0.00     0.00  ns3::Ptr<ns3::NetDevice>::Ptr(ns3::Ptr<ns3::NetDevice> const&)
  0.00      6.75     0.00     1992     0.00     0.00  __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::NetDevice> const*, std::vector<ns3::Ptr<ns3::NetDevice>, std::allocator<ns3::Ptr<ns3::NetDevice> > > >::operator++()
  0.00      6.75     0.00     1992     0.00     0.00  __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::NetDevice> const*, std::vector<ns3::Ptr<ns3::NetDevice>, std::allocator<ns3::Ptr<ns3::NetDevice> > > >::operator*() const
  0.00      6.75     0.00     1992     0.00     0.00  void std::_Construct<ns3::Ptr<ns3::NetDevice>, ns3::Ptr<ns3::NetDevice> const&>(ns3::Ptr<ns3::NetDevice>*, ns3::Ptr<ns3::NetDevice> const&&&)
  0.00      6.75     0.00     1992     0.00     0.00  ns3::Ptr<ns3::NetDevice> const&&& std::forward<ns3::Ptr<ns3::NetDevice> const&>(std::identity<ns3::Ptr<ns3::NetDevice> const&>::type&&)
  0.00      6.75     0.00     1789     0.00     0.01  ns3::NodeContainer::~NodeContainer()
  0.00      6.75     0.00     1636     0.00     0.00  void std::_Destroy_aux<false>::__destroy<ns3::Ptr<ns3::Application>*>(ns3::Ptr<ns3::Application>*, ns3::Ptr<ns3::Application>*)
  0.00      6.75     0.00     1636     0.00     0.00  void std::_Destroy<ns3::Ptr<ns3::Application>*>(ns3::Ptr<ns3::Application>*, ns3::Ptr<ns3::Application>*)
  0.00      6.75     0.00     1431     0.00     0.00  ns3::Ptr<ns3::Ipv4>::~Ptr()
  0.00      6.75     0.00     1202     0.00     0.00  __gnu_cxx::new_allocator<ns3::Ptr<ns3::Node> >::new_allocator(__gnu_cxx::new_allocator<ns3::Ptr<ns3::Node> > const&)
  0.00      6.75     0.00     1202     0.00     0.00  std::_Vector_base<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > >::_M_get_Tp_allocator() const
  0.00      6.75     0.00     1202     0.00     0.64  std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > >::end() const
  0.00      6.75     0.00     1202     0.00     0.00  std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > >::size() const
  0.00      6.75     0.00     1202     0.00     0.00  std::allocator<ns3::Ptr<ns3::Node> >::allocator(std::allocator<ns3::Ptr<ns3::Node> > const&)
  0.00      6.75     0.00     1202     0.00     0.00  std::_Vector_base<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > >::_Vector_impl::_Vector_impl(std::allocator<ns3::Ptr<ns3::Node> > const&)
  0.00      6.75     0.00     1202     0.00     0.25  std::_Vector_base<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > >::_Vector_base(unsigned long, std::allocator<ns3::Ptr<ns3::Node> > const&)
  0.00      6.75     0.00     1202     0.00     3.47  ns3::Ptr<ns3::Node>* std::__uninitialized_copy<false>::uninitialized_copy<__gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >, ns3::Ptr<ns3::Node>*>(__gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >, __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >, ns3::Ptr<ns3::Node>*)
  0.00      6.75     0.00     1202     0.00     5.02  std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > >::vector(std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > const&)
  0.00      6.75     0.00     1202     0.00     3.48  ns3::Ptr<ns3::Node>* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >, ns3::Ptr<ns3::Node>*, ns3::Ptr<ns3::Node> >(__gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >, __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >, ns3::Ptr<ns3::Node>*, std::allocator<ns3::Ptr<ns3::Node> >&)
  0.00      6.75     0.00     1171     0.00     0.00  ns3::Time::FromInteger(unsigned long, ns3::Time::Unit)
  0.00      6.75     0.00     1170     0.00     0.00  __gthread_active_p()
  0.00      6.75     0.00     1170     0.00     0.00  ns3::MilliSeconds(unsigned long)
  0.00      6.75     0.00     1170     0.00     0.00  __gnu_cxx::__exchange_and_add(int volatile*, int)
  0.00      6.75     0.00     1170     0.00     0.00  __gnu_cxx::__exchange_and_add_dispatch(int*, int)
  0.00      6.75     0.00     1028     0.00     0.00  __gnu_cxx::new_allocator<ns3::Ptr<ns3::Application> >::allocate(unsigned long, void const*)
  0.00      6.75     0.00     1028     0.00     0.00  __gnu_cxx::new_allocator<ns3::Ptr<ns3::Application> >::max_size() const
  0.00      6.75     0.00     1008     0.00     0.00  ns3::Ptr<ns3::Node>::operator->()
  0.00      6.75     0.00      999     0.00     0.00  std::pair<ns3::Ptr<ns3::Ipv4>, unsigned int>::~pair()
  0.00      6.75     0.00      999     0.00     0.00  void std::_Destroy<std::pair<ns3::Ptr<ns3::Ipv4>, unsigned int> >(std::pair<ns3::Ptr<ns3::Ipv4>, unsigned int>*)
